월소득,초기자금,가족수,주용도,연료선호,운전경력,거주지역,추천차종
453,1374,5,업무,하이브리드,1~3년,도심,K8_하이브리드
394,375,1,가족용,가솔린,1~3년,지방,스포티지_가솔린
300,1000,4,출퇴근,디젤,1~3년,도심,K5_가솔린
489,1509,6,업무,하이브리드,3년이상,도심,그랜저_하이브리드
517,1476,1,업무,가솔린,1~3년,지방,아반떼_가솔린
384,1560,2,가족용,하이브리드,3년이상,도심,K5_하이브리드
361,877,2,가족용,상관없음,3년이상,도심,스포티지_가솔린
384,2908,6,가족용,하이브리드,3년이상,지방,팰리세이드_하이브리드
320,1683,2,가족용,하이브리드,3년이상,도심,K5_하이브리드
242,2166,6,가족용,전기,1년미만,도심,스포티지_가솔린
329,2070,4,출퇴근,하이브리드,3년이상,도심,K5_하이브리드
618,4134,2,출퇴근,가솔린,3년이상,지방,G80_가솔린
234,2595,3,가족용,가솔린,1년미만,도심,스포티지_가솔린
406,2856,1,출퇴근,가솔린,1년미만,도심,아반떼_가솔린
133,2930,3,레저,전기,3년이상,도심,셀토스_가솔린
506,1383,3,출퇴근,하이브리드,1~3년,도심,쏘나타_하이브리드
319,1995,3,레저,가솔린,1년미만,지방,코나_가솔린
795,945,5,출퇴근,하이브리드,1~3년,지방,그랜저_하이브리드
185,1860,3,레저,상관없음,3년이상,지방,셀토스_가솔린
499,3967,6,레저,전기,3년이상,도심,G80_전기
453,4882,5,레저,전기,3년이상,도심,G80_전기
795,2374,3,업무,전기,1~3년,도심,G80_전기
801,1643,6,출퇴근,디젤,3년이상,지방,스포티지_디젤
448,962,5,업무,가솔린,3년이상,도심,K8_가솔린
134,4153,5,레저,상관없음,1년미만,지방,셀토스_가솔린
583,1549,6,출퇴근,하이브리드,1~3년,도심,그랜저_하이브리드
681,3738,6,가족용,가솔린,3년이상,지방,GV80_가솔린
197,4887,5,레저,상관없음,3년이상,도심,팰리세이드_하이브리드
412,1862,2,레저,하이브리드,1~3년,도심,산타페_하이브리드
306,1058,5,출퇴근,전기,3년이상,지방,K5_가솔린
739,4308,5,레저,가솔린,3년이상,지방,GV80_가솔린
334,1015,3,레저,전기,3년이상,도심,스포티지_가솔린
612,5009,6,업무,디젤,3년이상,지방,스포티지_디젤
460,2686,5,가족용,전기,1~3년,도심,아이오닉6_전기
810,5005,5,레저,가솔린,3년이상,도심,팰리세이드_가솔린
449,1483,6,출퇴근,전기,3년이상,도심,아이오닉6_전기
206,4823,1,가족용,전기,1년미만,도심,코나_전기
626,4173,2,출퇴근,가솔린,3년이상,지방,G80_가솔린
419,3930,5,레저,가솔린,3년이상,도심,팰리세이드_가솔린
436,2914,6,출퇴근,가솔린,1~3년,도심,그랜저_가솔린
697,990,3,레저,가솔린,1~3년,지방,산타페_가솔린
768,4049,4,레저,가솔린,3년이상,지방,GV80_가솔린
720,3398,1,업무,가솔린,3년이상,도심,G80_가솔린
603,1069,5,출퇴근,디젤,1~3년,도심,스포티지_디젤
404,5035,1,출퇴근,하이브리드,3년이상,지방,아반떼_하이브리드
183,2389,6,출퇴근,전기,1~3년,도심,K5_가솔린
509,519,2,레저,전기,1년미만,지방,코나_전기
366,3826,3,출퇴근,가솔린,3년이상,지방,그랜저_가솔린
609,823,5,업무,상관없음,1~3년,지방,그랜저_가솔린
294,1603,6,가족용,전기,3년이상,지방,스포티지_가솔린
509,3887,3,레저,전기,3년이상,도심,코나_전기
315,2553,5,업무,하이브리드,3년이상,지방,K8_하이브리드
264,2354,5,가족용,전기,1~3년,지방,스포티지_가솔린
380,1441,5,출퇴근,디젤,1년미만,도심,스포티지_디젤
816,641,3,레저,하이브리드,1년미만,도심,산타페_하이브리드
690,2379,6,업무,하이브리드,1~3년,도심,그랜저_하이브리드
504,1023,6,업무,하이브리드,3년이상,지방,그랜저_하이브리드
589,5130,4,출퇴근,상관없음,1년미만,도심,아반떼_가솔린
583,4928,5,레저,하이브리드,3년이상,도심,팰리세이드_하이브리드
130,2627,3,레저,디젤,3년이상,도심,셀토스_가솔린
816,4194,5,업무,하이브리드,1~3년,지방,그랜저_하이브리드
316,2593,6,출퇴근,하이브리드,1~3년,지방,K8_하이브리드
188,2983,6,레저,하이브리드,1~3년,지방,스포티지_하이브리드
169,2056,2,레저,상관없음,3년이상,도심,셀토스_가솔린
186,1439,3,레저,전기,1년미만,지방,아반떼_가솔린
581,542,2,레저,상관없음,1년미만,도심,코나_전기
217,1852,6,가족용,상관없음,1년미만,도심,아반떼_가솔린
449,2065,6,출퇴근,하이브리드,3년이상,도심,그랜저_하이브리드
270,2941,6,가족용,전기,1~3년,도심,아이오닉6_전기
234,4888,6,업무,가솔린,3년이상,지방,그랜저_가솔린
365,616,5,가족용,전기,1~3년,지방,스포티지_가솔린
601,525,3,가족용,가솔린,1년미만,지방,산타페_가솔린
791,520,4,출퇴근,전기,3년이상,지방,G80_전기
430,1184,5,출퇴근,가솔린,3년이상,지방,K8_가솔린
492,505,6,출퇴근,가솔린,1~3년,도심,K8_가솔린
293,1114,2,레저,하이브리드,1~3년,도심,아반떼_하이브리드
619,1658,4,업무,하이브리드,3년이상,지방,쏘나타_하이브리드
377,1827,4,출퇴근,하이브리드,1~3년,도심,K5_하이브리드
351,2803,2,레저,상관없음,3년이상,지방,코나_가솔린
598,1389,6,레저,하이브리드,1년미만,도심,산타페_하이브리드
784,1643,5,레저,가솔린,3년이상,지방,팰리세이드_가솔린
790,3736,2,업무,가솔린,3년이상,지방,G80_가솔린
206,2604,3,가족용,전기,3년이상,지방,스포티지_가솔린
249,1096,1,레저,전기,3년이상,도심,셀토스_가솔린
700,4156,5,가족용,가솔린,3년이상,지방,팰리세이드_가솔린
395,1576,5,출퇴근,하이브리드,3년이상,도심,K8_하이브리드
794,2906,5,업무,하이브리드,3년이상,지방,그랜저_하이브리드
400,1512,5,출퇴근,상관없음,1~3년,지방,K8_하이브리드
362,1199,3,가족용,하이브리드,3년이상,지방,스포티지_하이브리드
320,2822,1,레저,하이브리드,1~3년,도심,산타페_하이브리드
803,1498,4,업무,하이브리드,1년미만,도심,아반떼_하이브리드
615,4407,4,레저,가솔린,3년이상,지방,GV80_가솔린
132,3187,1,레저,가솔린,1~3년,지방,셀토스_가솔린
384,1989,3,레저,디젤,3년이상,지방,스포티지_디젤
357,4881,5,가족용,상관없음,1년미만,지방,산타페_가솔린
410,1024,6,업무,전기,1년미만,지방,코나_전기
389,4016,5,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
582,3867,6,업무,전기,1~3년,지방,G80_전기
343,1876,3,출퇴근,하이브리드,1~3년,지방,쏘나타_하이브리드
613,4530,5,레저,가솔린,3년이상,지방,GV80_가솔린
230,5053,6,출퇴근,전기,1~3년,도심,아이오닉6_전기
616,2142,3,업무,전기,3년이상,지방,G80_전기
301,2984,3,레저,상관없음,3년이상,지방,산타페_가솔린
799,1620,6,출퇴근,전기,1년미만,지방,G80_전기
693,337,3,출퇴근,가솔린,1~3년,도심,쏘나타_가솔린
391,560,5,가족용,하이브리드,1년미만,지방,스포티지_하이브리드
587,1108,5,가족용,하이브리드,3년이상,도심,팰리세이드_하이브리드
386,533,6,업무,하이브리드,1년미만,도심,아반떼_하이브리드
717,3014,2,가족용,하이브리드,1년미만,지방,아반떼_하이브리드
413,3078,6,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
397,2584,1,레저,가솔린,1년미만,지방,코나_가솔린
411,2621,6,가족용,전기,3년이상,도심,아이오닉6_전기
151,4018,6,출퇴근,가솔린,3년이상,지방,쏘나타_가솔린
481,479,2,출퇴근,가솔린,1년미만,도심,아반떼_가솔린
206,3953,5,출퇴근,하이브리드,1~3년,도심,K8_하이브리드
398,3051,6,업무,하이브리드,3년이상,도심,그랜저_하이브리드
684,4378,5,가족용,가솔린,3년이상,지방,GV80_가솔린
801,3139,1,가족용,상관없음,1~3년,지방,산타페_가솔린
815,1621,5,출퇴근,하이브리드,3년이상,도심,그랜저_하이브리드
209,2631,2,레저,상관없음,1년미만,지방,코나_가솔린
785,1093,6,업무,하이브리드,1년미만,도심,아반떼_하이브리드
293,2824,1,가족용,디젤,3년이상,지방,스포티지_디젤
598,1626,4,출퇴근,가솔린,3년이상,지방,그랜저_가솔린
785,1022,6,출퇴근,하이브리드,1~3년,지방,그랜저_하이브리드
252,2695,4,레저,하이브리드,1년미만,지방,스포티지_하이브리드
240,3868,4,출퇴근,가솔린,1~3년,도심,쏘나타_가솔린
233,2444,5,가족용,하이브리드,1~3년,도심,스포티지_하이브리드
209,2832,5,업무,하이브리드,1~3년,도심,쏘나타_하이브리드
346,4007,4,출퇴근,상관없음,3년이상,도심,쏘나타_하이브리드
155,3153,2,출퇴근,디젤,1~3년,지방,스포티지_디젤
246,2075,4,레저,가솔린,1~3년,지방,스포티지_가솔린
339,1539,3,가족용,하이브리드,1~3년,도심,K5_하이브리드
580,5186,4,가족용,가솔린,1~3년,지방,산타페_가솔린
336,4865,6,가족용,상관없음,1년미만,지방,산타페_가솔린
320,1824,6,레저,하이브리드,1년미만,도심,스포티지_하이브리드
602,476,3,출퇴근,가솔린,1~3년,지방,쏘나타_가솔린
786,3806,2,가족용,하이브리드,3년이상,지방,산타페_하이브리드
264,5057,5,가족용,상관없음,3년이상,지방,팰리세이드_가솔린
447,1012,6,업무,가솔린,1~3년,도심,K8_가솔린
417,4096,5,레저,상관없음,3년이상,지방,팰리세이드_가솔린
714,2585,5,가족용,가솔린,1년미만,도심,산타페_가솔린
674,3559,6,레저,가솔린,3년이상,도심,GV80_가솔린
785,1981,2,가족용,디젤,1~3년,지방,스포티지_디젤
719,3729,3,업무,가솔린,3년이상,도심,G80_가솔린
496,4931,4,레저,가솔린,3년이상,지방,산타페_가솔린
130,3194,2,레저,상관없음,1~3년,도심,셀토스_가솔린
332,3800,5,레저,전기,1~3년,도심,코나_전기
710,3933,5,업무,상관없음,1~3년,지방,그랜저_가솔린
601,3876,6,업무,하이브리드,1년미만,도심,아반떼_하이브리드
243,3944,6,가족용,전기,1~3년,도심,아이오닉6_전기
688,5053,5,가족용,가솔린,3년이상,도심,팰리세이드_가솔린
308,1631,5,출퇴근,전기,1~3년,도심,EV6_전기
714,1844,6,레저,전기,1~3년,도심,G80_전기
361,4115,6,가족용,전기,1~3년,도심,아이오닉6_전기
617,2385,1,출퇴근,전기,1~3년,지방,아반떼_가솔린
804,1994,5,출퇴근,전기,1~3년,도심,G80_전기
284,1869,5,출퇴근,하이브리드,1년미만,도심,아반떼_하이브리드
582,4845,3,가족용,전기,1년미만,지방,코나_전기
338,1427,2,가족용,하이브리드,3년이상,지방,스포티지_하이브리드
337,422,4,업무,가솔린,1년미만,지방,아반떼_가솔린
495,2070,6,레저,하이브리드,3년이상,지방,팰리세이드_하이브리드
282,1872,3,레저,하이브리드,3년이상,도심,스포티지_하이브리드
723,4968,3,업무,가솔린,3년이상,도심,G80_가솔린
787,1628,4,업무,전기,3년이상,지방,G80_전기
491,2503,6,가족용,전기,1~3년,도심,아이오닉6_전기
511,4904,5,레저,전기,3년이상,지방,G80_전기
420,2516,4,출퇴근,하이브리드,3년이상,지방,쏘나타_하이브리드
330,2259,2,가족용,하이브리드,1~3년,도심,K5_하이브리드
210,2827,6,가족용,전기,1~3년,도심,EV6_전기
242,3009,5,업무,하이브리드,1~3년,도심,쏘나타_하이브리드
497,2945,3,레저,상관없음,1~3년,지방,산타페_가솔린
699,1516,5,레저,하이브리드,3년이상,지방,팰리세이드_하이브리드
418,2088,5,레저,디젤,3년이상,지방,스포티지_디젤
586,2381,5,레저,가솔린,1~3년,도심,팰리세이드_가솔린
590,1383,4,출퇴근,상관없음,3년이상,지방,쏘나타_하이브리드
204,2013,2,레저,디젤,1~3년,지방,코나_가솔린
404,2854,4,업무,하이브리드,1~3년,도심,쏘나타_하이브리드
358,2581,5,출퇴근,전기,1~3년,지방,그랜저_가솔린
583,837,6,출퇴근,전기,3년이상,도심,아이오닉6_전기
219,2860,3,출퇴근,가솔린,3년이상,도심,쏘나타_가솔린
132,2931,4,레저,전기,1~3년,지방,셀토스_가솔린
410,425,6,출퇴근,전기,3년이상,도심,EV6_전기
625,3237,3,업무,가솔린,3년이상,지방,G80_가솔린
450,499,2,업무,하이브리드,1년미만,지방,아반떼_하이브리드
357,317,6,업무,가솔린,1~3년,도심,K5_가솔린
468,4861,5,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
713,2001,5,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
590,594,5,레저,상관없음,1~3년,도심,팰리세이드_가솔린
731,4358,3,업무,가솔린,3년이상,도심,G80_가솔린
211,3832,6,업무,상관없음,1~3년,도심,K8_가솔린
358,2156,4,가족용,하이브리드,3년이상,도심,K5_하이브리드
469,816,5,출퇴근,상관없음,3년이상,도심,K8_하이브리드
267,1394,4,업무,디젤,1~3년,도심,K5_가솔린
445,1673,5,레저,하이브리드,1~3년,도심,산타페_하이브리드
349,3196,6,업무,하이브리드,3년이상,도심,그랜저_하이브리드
441,2615,5,업무,디젤,1~3년,지방,스포티지_디젤
437,629,5,가족용,전기,3년이상,도심,EV6_전기
399,1466,6,가족용,전기,3년이상,도심,아이오닉6_전기
701,2894,4,업무,하이브리드,1~3년,지방,쏘나타_하이브리드
130,2844,6,레저,디젤,1년미만,도심,셀토스_가솔린
244,4155,2,레저,가솔린,1~3년,지방,코나_가솔린
245,3831,1,레저,가솔린,1~3년,지방,코나_가솔린
590,1086,5,레저,상관없음,1~3년,지방,팰리세이드_가솔린
694,580,3,레저,디젤,3년이상,지방,스포티지_디젤
785,2477,4,업무,가솔린,3년이상,지방,쏘나타_가솔린
297,1122,4,출퇴근,가솔린,3년이상,도심,K5_가솔린
320,3186,5,레저,하이브리드,1~3년,지방,산타페_하이브리드
609,669,2,업무,하이브리드,1년미만,지방,아반떼_하이브리드
184,4065,5,출퇴근,상관없음,3년이상,도심,쏘나타_하이브리드
342,3191,1,레저,하이브리드,3년이상,지방,산타페_하이브리드
520,2377,2,출퇴근,하이브리드,1년미만,도심,아반떼_하이브리드
805,2011,5,업무,하이브리드,1~3년,지방,그랜저_하이브리드
457,511,2,레저,하이브리드,1~3년,도심,산타페_하이브리드
500,1384,5,출퇴근,전기,1~3년,도심,아이오닉6_전기
467,2019,3,업무,가솔린,3년이상,도심,쏘나타_가솔린
434,1043,4,업무,상관없음,1~3년,도심,쏘나타_가솔린
130,3060,3,레저,디젤,1~3년,지방,셀토스_가솔린
291,4980,5,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
283,2030,6,레저,하이브리드,1년미만,도심,스포티지_하이브리드
340,2321,5,업무,가솔린,1~3년,도심,K8_가솔린
582,4005,3,업무,가솔린,1~3년,도심,쏘나타_가솔린
712,1363,3,출퇴근,디젤,3년이상,지방,스포티지_디젤
203,3014,4,가족용,가솔린,3년이상,도심,스포티지_가솔린
399,3828,6,출퇴근,전기,3년이상,지방,그랜저_가솔린
606,2083,1,업무,상관없음,1~3년,지방,아반떼_가솔린
501,381,6,출퇴근,상관없음,3년이상,도심,K8_하이브리드
718,4986,6,가족용,상관없음,3년이상,지방,팰리세이드_가솔린
336,3149,2,레저,가솔린,1~3년,도심,코나_가솔린
295,2043,1,레저,하이브리드,1~3년,도심,스포티지_하이브리드
448,572,3,업무,하이브리드,3년이상,도심,쏘나타_하이브리드
312,2017,4,가족용,하이브리드,3년이상,도심,K5_하이브리드
196,3049,5,가족용,전기,3년이상,도심,EV6_전기
685,427,5,레저,상관없음,1~3년,지방,팰리세이드_가솔린
629,3771,6,가족용,가솔린,3년이상,지방,GV80_가솔린
718,971,3,업무,상관없음,3년이상,지방,쏘나타_가솔린
587,5002,6,레저,가솔린,3년이상,도심,팰리세이드_가솔린
616,365,4,출퇴근,전기,3년이상,지방,쏘나타_하이브리드
386,537,2,가족용,가솔린,1~3년,도심,스포티지_가솔린
205,2807,3,업무,가솔린,3년이상,지방,쏘나타_가솔린
191,3064,3,가족용,하이브리드,1년미만,도심,스포티지_하이브리드
438,3910,6,업무,전기,3년이상,지방,그랜저_가솔린
256,4043,5,가족용,가솔린,3년이상,도심,팰리세이드_가솔린
187,2936,5,가족용,상관없음,3년이상,도심,스포티지_가솔린
441,1603,2,레저,가솔린,1년미만,지방,코나_가솔린
198,4078,5,업무,상관없음,1~3년,도심,K8_가솔린
501,2655,5,레저,상관없음,3년이상,지방,팰리세이드_가솔린
340,1925,4,레저,상관없음,1년미만,지방,코나_가솔린
799,4999,6,레저,상관없음,1~3년,도심,팰리세이드_가솔린
352,1846,5,가족용,하이브리드,1년미만,지방,산타페_하이브리드
490,1333,4,가족용,가솔린,1~3년,지방,산타페_가솔린
783,4566,4,레저,가솔린,3년이상,지방,GV80_가솔린
131,3827,2,레저,가솔린,1~3년,도심,셀토스_가솔린
592,1379,6,가족용,전기,1~3년,도심,아이오닉6_전기
515,446,3,업무,상관없음,1~3년,도심,쏘나타_가솔린
486,1656,5,가족용,전기,1~3년,도심,아이오닉6_전기
443,2090,6,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
608,4056,4,가족용,가솔린,3년이상,도심,GV80_가솔린
296,3867,6,가족용,디젤,1~3년,도심,스포티지_디젤
449,347,6,레저,하이브리드,1~3년,도심,스포티지_하이브리드
707,1849,5,가족용,하이브리드,3년이상,지방,팰리세이드_하이브리드
614,3710,2,출퇴근,가솔린,3년이상,지방,G80_가솔린
331,536,3,레저,디젤,1년미만,도심,코나_가솔린
464,1180,6,업무,가솔린,3년이상,지방,그랜저_가솔린
305,1533,6,레저,하이브리드,1년미만,도심,스포티지_하이브리드
783,1143,6,업무,전기,3년이상,도심,G80_전기
358,1523,1,레저,디젤,1~3년,도심,스포티지_디젤
492,592,3,출퇴근,전기,3년이상,지방,쏘나타_하이브리드
400,4110,5,출퇴근,디젤,3년이상,도심,스포티지_디젤
370,2017,1,레저,하이브리드,1~3년,도심,산타페_하이브리드
312,985,5,출퇴근,가솔린,1~3년,지방,K5_가솔린
592,3036,2,레저,하이브리드,3년이상,지방,산타페_하이브리드
149,4984,3,출퇴근,하이브리드,1년미만,도심,아반떼_하이브리드
206,3095,5,레저,가솔린,3년이상,도심,스포티지_가솔린
161,3812,6,가족용,하이브리드,1년미만,도심,스포티지_하이브리드
161,2510,3,가족용,하이브리드,1년미만,지방,아반떼_하이브리드
243,2103,4,레저,상관없음,1년미만,도심,코나_가솔린
280,3009,6,출퇴근,상관없음,1~3년,지방,K8_하이브리드
437,1195,5,업무,가솔린,3년이상,지방,K8_가솔린
332,1896,5,가족용,전기,3년이상,도심,EV6_전기
709,2845,4,출퇴근,하이브리드,1~3년,지방,쏘나타_하이브리드
131,4830,5,레저,가솔린,1년미만,지방,셀토스_가솔린
282,2114,2,출퇴근,전기,1년미만,도심,코나_전기
202,2181,4,가족용,가솔린,1~3년,지방,K5_가솔린
439,1110,6,업무,가솔린,3년이상,도심,K8_가솔린
357,382,3,업무,디젤,1~3년,지방,K5_가솔린
415,2137,6,레저,가솔린,1년미만,지방,코나_가솔린
815,2020,4,레저,디젤,1~3년,지방,스포티지_디젤
356,936,4,가족용,상관없음,1년미만,지방,스포티지_가솔린
254,2869,4,레저,전기,1~3년,도심,코나_전기
721,4217,3,업무,가솔린,3년이상,지방,G80_가솔린
214,3889,5,업무,가솔린,3년이상,도심,K8_가솔린
412,1550,5,출퇴근,하이브리드,3년이상,도심,K8_하이브리드
686,318,6,업무,하이브리드,1~3년,지방,그랜저_하이브리드
170,3078,3,업무,가솔린,1~3년,지방,쏘나타_가솔린
147,3865,5,출퇴근,전기,3년이상,도심,EV6_전기
164,2953,5,출퇴근,상관없음,1~3년,지방,쏘나타_하이브리드
336,1584,2,레저,하이브리드,1~3년,도심,스포티지_하이브리드
406,1511,6,레저,디젤,3년이상,지방,스포티지_디젤
130,2818,1,레저,디젤,3년이상,지방,셀토스_가솔린
345,1910,2,가족용,하이브리드,3년이상,지방,산타페_하이브리드
397,1602,6,업무,상관없음,1~3년,도심,K8_가솔린
360,1688,6,업무,디젤,3년이상,도심,스포티지_디젤
288,1137,4,가족용,가솔린,1~3년,지방,K5_가솔린
180,2545,3,출퇴근,상관없음,1~3년,지방,K5_가솔린
787,2966,4,업무,상관없음,3년이상,지방,쏘나타_가솔린
132,2930,4,레저,가솔린,1~3년,지방,셀토스_가솔린
732,3143,6,레저,가솔린,3년이상,지방,GV80_가솔린
433,2422,5,업무,하이브리드,1~3년,도심,그랜저_하이브리드
456,860,6,출퇴근,상관없음,1~3년,지방,K8_하이브리드
352,1024,1,레저,하이브리드,3년이상,지방,스포티지_하이브리드
270,5037,5,업무,상관없음,3년이상,지방,그랜저_가솔린
586,4165,1,가족용,상관없음,3년이상,도심,코나_전기
782,1007,4,업무,상관없음,1~3년,도심,G80_전기
589,1898,5,가족용,전기,1~3년,지방,산타페_가솔린
803,4858,1,레저,가솔린,1~3년,지방,코나_가솔린
602,3357,1,출퇴근,가솔린,3년이상,도심,G80_가솔린
358,4957,3,업무,하이브리드,1~3년,도심,쏘나타_하이브리드
790,342,6,업무,전기,1~3년,지방,G80_전기
600,4830,6,가족용,하이브리드,3년이상,도심,팰리세이드_하이브리드
353,1117,5,출퇴근,전기,1~3년,도심,EV6_전기
259,1003,3,출퇴근,하이브리드,3년이상,도심,아반떼_하이브리드
362,846,2,가족용,하이브리드,3년이상,지방,스포티지_하이브리드
362,2124,4,가족용,하이브리드,3년이상,도심,K5_하이브리드
606,4085,5,레저,디젤,1년미만,지방,스포티지_디젤
820,2186,5,레저,하이브리드,3년이상,도심,팰리세이드_하이브리드
260,1855,3,가족용,가솔린,1~3년,도심,스포티지_가솔린
614,5134,2,가족용,디젤,1년미만,지방,스포티지_디젤
259,1548,4,업무,상관없음,3년이상,지방,K5_가솔린
130,2542,4,레저,상관없음,1~3년,도심,셀토스_가솔린
480,596,6,업무,가솔린,1~3년,도심,K8_가솔린
165,1620,6,업무,상관없음,1~3년,도심,아반떼_가솔린
353,3086,5,가족용,전기,1년미만,지방,코나_전기
131,4843,1,레저,가솔린,1년미만,지방,셀토스_가솔린
793,2047,4,출퇴근,상관없음,1~3년,도심,쏘나타_하이브리드
613,3882,2,레저,전기,1년미만,지방,코나_전기
657,4791,5,가족용,가솔린,3년이상,도심,GV80_가솔린
499,4828,6,레저,하이브리드,1~3년,지방,팰리세이드_하이브리드
169,2074,3,레저,전기,1년미만,도심,코나_가솔린
404,2501,3,출퇴근,상관없음,1년미만,도심,아반떼_가솔린
133,2553,4,레저,전기,1년미만,도심,셀토스_가솔린
520,1385,6,가족용,디젤,3년이상,지방,스포티지_디젤
354,1606,4,가족용,하이브리드,3년이상,도심,K5_하이브리드
233,2634,5,레저,하이브리드,3년이상,도심,스포티지_하이브리드
456,960,4,가족용,전기,1~3년,도심,코나_전기
699,2097,5,가족용,하이브리드,3년이상,지방,팰리세이드_하이브리드
764,3211,4,레저,가솔린,3년이상,도심,GV80_가솔린
257,2390,2,레저,상관없음,1~3년,지방,코나_가솔린
391,1421,5,가족용,전기,3년이상,도심,아이오닉6_전기
381,659,6,가족용,전기,1~3년,도심,EV6_전기
666,3326,5,레저,가솔린,3년이상,도심,GV80_가솔린
403,1140,6,가족용,상관없음,3년이상,지방,산타페_가솔린
708,2461,3,레저,가솔린,1년미만,지방,코나_가솔린
690,854,1,업무,상관없음,3년이상,도심,코나_전기
390,3923,5,업무,하이브리드,3년이상,지방,그랜저_하이브리드
313,5183,5,가족용,하이브리드,3년이상,지방,팰리세이드_하이브리드
614,2334,2,레저,하이브리드,1~3년,도심,산타페_하이브리드
705,1647,3,가족용,가솔린,1~3년,도심,산타페_가솔린
334,4133,3,레저,가솔린,3년이상,지방,산타페_가솔린
399,613,5,레저,하이브리드,3년이상,도심,스포티지_하이브리드
361,4013,5,가족용,전기,3년이상,지방,팰리세이드_가솔린
609,4957,4,출퇴근,가솔린,1~3년,지방,쏘나타_가솔린
817,4847,5,출퇴근,하이브리드,1~3년,도심,그랜저_하이브리드
250,2505,4,레저,하이브리드,1년미만,도심,스포티지_하이브리드
507,2963,5,레저,하이브리드,3년이상,도심,팰리세이드_하이브리드
416,2998,3,레저,가솔린,1~3년,도심,산타페_가솔린
796,546,6,가족용,하이브리드,3년이상,도심,팰리세이드_하이브리드
499,1456,2,가족용,하이브리드,1~3년,지방,산타페_하이브리드
604,3920,1,업무,디젤,3년이상,지방,스포티지_디젤
349,1639,6,가족용,전기,3년이상,도심,EV6_전기
259,1181,1,레저,가솔린,1~3년,도심,코나_가솔린
134,3009,5,레저,가솔린,1년미만,도심,셀토스_가솔린
818,678,6,출퇴근,하이브리드,1~3년,지방,그랜저_하이브리드
168,4138,3,레저,가솔린,3년이상,지방,산타페_가솔린
517,1418,4,가족용,디젤,1~3년,도심,스포티지_디젤
581,1179,6,업무,하이브리드,1년미만,지방,아반떼_하이브리드
